replicate,BvsS,type,LC3ratio,LC3ratioNorm,LC3II,tepsinKD,AP4EKD
1,Basal,WT,1,1.000,1,1.000,1.000
1,Basal,Control,2.177166118,5.106,7.637066246,1.587,2.160
1,Basal,tepsin,1.299321574,2.354,6.538453975,0.088,1.722
1,Basal,AP4E1,2.217484009,2.896,6.238400474,0.711,0.294
2,Basal,WT,1,1.000,1.000000002,1.000,1.000
2,Basal,Control,4.701753257,4.437,5.330691654,0.967,0.882
2,Basal,tepsin,3.676038519,2.847,7.832853043,0.374,0.815
2,Basal,AP4E1,3.383710276,2.839,8.268011545,0.574,0.307
3,Basal,WT,1,1.000,1.000000001,1.000,1.000
3,Basal,Control,2.764032021,2.660,2.456785124,0.876,0.875
3,Basal,tepsin,3.182204841,2.720,2.092083409,0.084,0.757
3,Basal,AP4E1,2.757572869,2.457,2.409682853,0.652,0.100
4,Basal,WT,1.000000001,1.000,0.999999999,1.000,1.000
4,Basal,Control,1.374151585,1.247,0.915509258,0.594,0.961
4,Basal,tepsin,0.860386691,0.801,0.369952494,0.004,1.024
4,Basal,AP4E1,0.531176471,0.481,0.543187066,0.456,0.149
5,Basal,WT,1,1.000,0.999999999,1.000,1.000
5,Basal,Control,1.988636364,1.972,2.592329543,0.950,1.212
5,Basal,tepsin,3.015218558,3.246,2.096294804,0.085,1.082
5,Basal,AP4E1,1.958041959,2.036,1.512561511,0.670,0.134
6,Basal,WT,1,1.000,0.999999999,1.000,1.000
6,Basal,Control,1.579557461,1.798,3.327707002,0.941,1.167
6,Basal,tepsin,1.900257488,1.843,3.799386998,0.225,1.021
6,Basal,AP4E1,3.597341458,4.462,3.420933362,0.874,0.293
1,Starved,WT,0.682353781,0.511,4.976478522,1.153,0.808
1,Starved,Control,1.55563911,2.128,9.055577493,1.095,1.300
1,Starved,tepsin,2.458860856,4.990,11.34381223,0.144,1.816
1,Starved,AP4E1,2.624779039,2.202,4.723939789,0.401,0.236
2,Starved,WT,3.362730461,2.658,7.404529491,0.577,0.840
2,Starved,Control,4.814905069,4.799,8.760616715,0.451,0.655
2,Starved,tepsin,5.306022858,4.077,11.95855426,0.196,0.717
2,Starved,AP4E1,5.635157107,3.748,10.39012812,0.369,0.306
3,Starved,WT,3.672139925,3.304,3.460313574,0.822,0.836
3,Starved,Control,4.486784618,4.043,4.495079617,0.746,0.802
3,Starved,tepsin,5.829565914,4.909,4.926543901,0.065,0.710
3,Starved,AP4E1,6.734555365,6.197,5.029972744,0.530,0.085
4,Starved,WT,0.567254465,0.497,0.462751677,0.539,0.672
4,Starved,Control,1.499960939,1.504,0.799360613,0.343,0.694
4,Starved,tepsin,3.43136161,2.989,1.112222221,0.042,1.162
4,Starved,AP4E1,0.773070988,0.701,0.377546296,0.290,0.079
5,Starved,WT,2.121212122,1.980,2.602495541,0.847,1.092
5,Starved,Control,3.078945191,2.981,3.117213243,0.897,1.199
5,Starved,tepsin,4.779942282,5.042,4.235636709,0.082,1.066
5,Starved,AP4E1,2.104287557,1.995,2.678964972,0.672,0.070
6,Starved,WT,2.026164233,1.828,2.677564471,0.663,0.895
6,Starved,Control,2.286330231,2.550,4.361643931,0.572,1.115
6,Starved,tepsin,5.014832913,6.142,4.719321933,0.081,1.126
6,Starved,AP4E1,7.837427967,9.568,4.758865955,0.316,0.353
