Filename,LC3CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2
LC3-puncta_MOConly_batch-seg_3Jun21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_001_crop.nd2,1,0.99496,0.179891,5.50304,1,1
,1,1,0.182527,5.47863,1,1
,1,0.991763,0.655213,1.50118,1,1
,1,0.999035,0.230661,4.32701,1,1
,1,1,0.292191,3.42241,1,1
,2,0.99188,0.133657,7.36082,1,1
,2,0.931698,0.259165,3.34945,1,1
,2,0.996598,0.179044,5.54728,1,1
,2,0.99782,0.206779,4.81502,1,1
,2,0.988311,0.286652,3.40747,1,1
,2,1,1.0876,0.919455,1,1
,2,0.980725,1.1042,0.871056,1,1
,2,0.990362,0.305172,3.21398,1,1
,2,0.989655,0.13579,7.21272,1,1
,2,0.991312,0.27105,3.62553,1,1
,2,0.968072,0.113881,8.2293,1,1
,3,0.931578,0.102181,8.49314,1,1
,3,0.97696,0.804052,1.18705,1,1
,3,0.995773,0.217775,4.55316,1,1
,3,0.850324,0.0717119,10.0827,1,1
,3,0.96594,0.119078,7.83553,1,1
,3,0.964235,1.11014,0.837509,1,1
,3,0.99966,0.178645,5.59388,1,1
,3,0.992756,0.233416,4.22236,1,1
,3,0.983428,0.29273,3.30384,1,1
,3,0.992258,1.0353,0.951008,1,1
,3,0.992448,0.207582,4.74489,1,1
,3,0.998494,0.335616,2.97063,1,1
,3,0.992825,0.29944,3.29181,1,1
,3,0.976485,0.819918,1.16295,1,1
,3,0.982379,0.261565,3.6896,1,1
,3,0.998298,0.214862,4.63833,1,1
,3,0.98881,0.146116,6.69158,1,1
,3,1,0.214715,4.65734,1,1
LC3-puncta_MOConly_batch-seg_3Jun21_010b_000_AP4E1-A_NSW3010_LC3-488_LAMP-594_basal_60X_005.nd2,1,0.991243,0.346055,2.83932,1,1
,1,1,0.611369,1.63567,1,1
,1,0.940772,0.330891,2.67476,1,1
,1,0.991999,0.22764,4.32288,1,1
,1,0.98734,0.193869,5.02834,1,1
,1,0.965213,0.255811,3.6419,1,1
,1,1,0.224099,4.46231,1,1
,1,1,0.239741,4.17117,1,1
,1,0.892967,0.151283,5.27086,1,1
,1,0.991544,0.248994,3.94853,1,1
,1,0.999382,0.236679,4.2199,1,1
,1,0.996253,0.359011,2.7646,1,1
,1,0.99111,0.269181,3.64922,1,1
,1,0.944956,0.165121,5.40781,1,1
,1,0.996084,0.516704,1.92022,1,1
,1,0.982861,0.263397,3.66752,1,1
,1,0.997034,0.418323,2.37634,1,1
,1,0.979964,0.282867,3.39499,1,1
,1,0.992712,0.272308,3.61898,1,1
,1,0.985251,0.410033,2.36741,1,1
,1,1,0.266433,3.75329,1,1
,1,0.97879,0.244208,3.92301,1,1
,1,1,0.358144,2.79218,1,1
,1,0.970027,0.383191,2.45557,1,1
,1,0.980386,0.653458,1.47088,1,1
,1,0.986094,0.612275,1.58814,1,1
,1,1,0.622824,1.60559,1,1
,1,0.994198,1.09986,0.898687,1,1
,1,0.99651,0.936089,1.06083,1,1
,1,0.999608,0.606979,1.64621,1,1
,1,1,0.161961,6.17431,1,1
,1,0.980258,0.399712,2.404,1,1
,1,0.989329,0.363632,2.69166,1,1
,1,0.983085,0.872448,1.10775,1,1
,1,0.976404,0.65026,1.46613,1,1
,1,1,0.654776,1.52724,1,1
,1,1,0.753368,1.32737,1,1
,1,0.981862,0.947095,1.01791,1,1
,1,1,0.595745,1.67857,1,1
,1,0.965782,0.19323,4.82708,1,1
,1,0.985318,0.530863,1.82882,1,1
,1,0.987525,0.205698,4.74097,1,1
,1,0.979402,0.254078,3.77533,1,1
,1,0.997394,0.225383,4.41381,1,1
,1,0.999388,0.68215,1.46416,1,1
,1,0.99841,0.775078,1.28609,1,1
,1,0.996974,0.496546,2.00174,1,1
,1,1,0.598341,1.67129,1,1
,1,0.997229,0.290677,3.4212,1,1
,1,0.984179,0.287953,3.36378,1,1
,1,0.996473,0.492467,2.01629,1,1
,1,1,0.486708,2.05462,1,1
,1,0.994561,0.45219,2.18747,1,1
