Filename,LC3CellID,MandersMOC,Mandersk1,Mandersk2,MandersM1,MandersM2
LC3-puncta_MOConly_batch-seg_3Jun21_012s_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_starved_60X_001.nd2,1,0.991831,0.159753,6.15781,1,1
,1,0.997281,0.125965,7.89562,1,1
,1,0.995158,0.15426,6.41992,1,1
,1,0.983393,0.119099,8.1198,1,1
,1,0.982222,0.150157,6.42499,1,1
,1,0.981023,0.126307,7.61958,1,1
,1,0.998874,0.138508,7.20353,1,1
,1,0.994665,0.167828,5.89507,1,1
,1,0.962905,0.149418,6.20531,1,1
,1,0.989698,0.566396,1.72936,1,1
,1,0.983846,0.867256,1.11611,1,1
,1,0.992489,0.520434,1.89272,1,1
,1,0.983125,0.469637,2.05805,1,1
,1,0.991449,1.01963,0.964048,1,1
,1,0.990627,0.789491,1.24301,1,1
,1,0.988976,0.53322,1.83428,1,1
,1,0.981259,0.502844,1.91485,1,1
,1,1,0.706399,1.41563,1,1
,1,0.968749,0.548269,1.7117,1,1
,1,0.997743,0.250891,3.96782,1,1
,1,0.989578,0.503173,1.94618,1,1
,1,1,0.31105,3.21491,1,1
,1,0.995882,0.275195,3.60392,1,1
,1,0.98395,0.325951,2.97026,1,1
,1,0.983,0.455561,2.1211,1,1
,1,0.984432,0.261651,3.70381,1,1
,1,0.9451,0.285649,3.12696,1,1
,1,0.978194,0.404609,2.36491,1,1
,1,0.998088,0.648803,1.53541,1,1
,1,0.993592,0.371596,2.65672,1,1
,1,0.961056,0.465517,1.98409,1,1
,1,0.993945,0.979037,1.00908,1,1
,1,0.980308,0.357166,2.69063,1,1
,1,0.981494,0.329621,2.92254,1,1
,1,1,0.37393,2.6743,1,1
,1,0.995178,0.346497,2.85827,1,1
,1,0.971421,0.649939,1.45192,1,1
,1,0.995877,0.154102,6.43581,1,1
,1,0.997265,0.144576,6.87898,1,1
,2,0.976395,0.773225,1.23295,1,1
,2,0.939449,0.684339,1.28966,1,1
,2,0.9733,0.336395,2.81607,1,1
,2,0.963066,1.03803,0.893515,1,1
,2,0.951401,0.799498,1.13217,1,1
,2,0.942126,1.4095,0.629726,1,1
,2,0.948485,0.837735,1.07388,1,1
,2,0.973769,1.07332,0.883454,1,1
,2,0.964214,1.14206,0.814061,1,1
,2,0.988928,1.60719,0.608503,1,1
,2,0.987596,1.37268,0.710542,1,1
,2,0.920899,0.74537,1.13776,1,1
,2,0.99436,0.158753,6.22824,1,1
,2,0.988016,1.24393,0.784748,1,1
,2,0.971998,1.43037,0.660513,1,1
,2,0.8705,0.464274,1.63216,1,1
,2,0.949761,0.204701,4.40665,1,1
,2,0.98558,0.476578,2.03821,1,1
,2,1,0.690155,1.44895,1,1
,2,0.987395,0.161882,6.02258,1,1
,2,0.960024,0.463272,1.98943,1,1
