Filename,NucleiCount,LC3CellID,LC3PunctaCount,LAMPCellID,LAMPObjCount
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_001_crop.nd2,4,1,24,1,14
,,2,21,2,12
,,3,24,3,15
,,4,17,4,7
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_002_crop.nd2,2,1,44,1,29
,,2,41,2,38
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_003.nd2,3,1,60,1,39
,,2,17,2,24
,,3,7,3,37
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_004.nd2,1,1,92,1,11
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_006.nd2,1,1,39,1,22
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_007.nd2,1,1,14,1,20
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_008.nd2,4,1,33,1,20
,,2,28,2,24
,,3,12,3,31
,,4,26,4,31
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_009_crop.nd2,1,1,9,1,18
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_011.nd2,2,1,54,1,30
,,2,23,2,36
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_012_crop.nd2,1,1,19,1,24
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_013_crop.nd2,1,1,22,1,32
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_015.nd2,2,1,55,1,6
,,2,21,2,14
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_016_crop.nd2,2,1,15,1,15
,,2,31,2,35
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_018_crop.nd2,1,1,9,1,36
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_019_crop.nd2,2,1,20,1,16
,,2,15,2,35
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_020.nd2,2,1,17,1,11
,,2,24,2,14
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_021_crop.nd2,2,1,32,1,23
,,2,11,2,18
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_025_crop.nd2,1,1,39,1,23
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_AP4E1-A_NSW3016_488-LC3_594-LAMP_starved_60X_026.nd2,2,1,22,1,36
,,2,31,2,61
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_Control-A_NSW3016_488-LC3_594-LAMP_starved_60X_001.nd2,5,1,17,1,26
,,2,27,2,19
,,3,25,3,18
,,4,15,4,19
,,5,35,5,19
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_Control-A_NSW3016_488-LC3_594-LAMP_starved_60X_002.nd2,2,1,16,1,23
,,2,20,2,16
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_Control-A_NSW3016_488-LC3_594-LAMP_starved_60X_004.nd2,4,1,33,1,11
,,2,13,2,8
,,3,10,3,38
,,4,11,4,31
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_Control-A_NSW3016_488-LC3_594-LAMP_starved_60X_005.nd2,5,1,13,1,26
,,2,10,2,25
,,3,21,3,13
,,4,28,4,25
,,5,19,5,16
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_Control-A_NSW3016_488-LC3_594-LAMP_starved_60X_006_crop.nd2,2,1,48,1,21
,,2,58,2,34
LC3-puncta_LAMP1_batch-seg_23Feb21_016s_000_Control-A_NSW3016_488-LC3_594-LAMP_starved_60X_007.nd2,2,1,22,1,16
,,2,33,2,17
