Filename,NucleiCount,LC3CellID,LC3PunctaCount,LAMPCellID,LAMPObjCount
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_starved_60X_001.nd2,2,1,39,1,68
,,2,23,2,49
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_starved_60X_002_crop.nd2,2,1,24,1,37
,,2,46,2,22
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_starved_60X_004_crop.nd2,3,1,36,1,53
,,2,52,2,88
,,3,24,3,41
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_starved_60X_005.nd2,2,1,19,1,106
,,2,21,2,79
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_starved_60X_006.nd2,2,1,31,1,20
,,2,31,2,25
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_starved_60X_007.nd2,3,1,33,1,73
,,2,28,2,50
,,3,30,3,19
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_starved_60X_009.nd2,2,1,11,1,71
,,2,11,2,65
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_starved_60X_010.nd2,1,1,12,1,60
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_starved_60X_012.nd2,2,1,11,1,33
,,2,16,2,35
LC3-puncta_LAMP1_batch-seg_18Mar21_012s_000_AP4E1-A_NSW3012_488-LC3_594-LAMP1_starved_60X_013_crop.nd2,5,1,11,1,21
,,2,18,2,61
,,3,6,3,38
,,4,10,4,21
,,5,6,5,62
