,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif
1,LC3CountMinMax,WT,Control,106,105,-0.504474826,0.613927748,1,ns
2,LC3CountMinMax,WT,tepsin,106,105,1.678562877,0.093237267,0.559423599,ns
3,LC3CountMinMax,WT,AP4E1,106,105,-2.188020767,0.02866809,0.172008538,ns
4,LC3CountMinMax,Control,tepsin,105,105,2.177882944,0.029414753,0.176488516,ns
5,LC3CountMinMax,Control,AP4E1,105,105,-1.67957062,0.093040888,0.558245328,ns
6,LC3CountMinMax,tepsin,AP4E1,105,105,-3.857453564,0.000114574,0.000687447,***
7,LC3VolMinMax,WT,Control,101,102,2.175534583,0.029590079,0.177540477,ns
8,LC3VolMinMax,WT,tepsin,101,101,3.311138055,0.000929174,0.005575041,**
9,LC3VolMinMax,WT,AP4E1,101,104,0.756636548,0.449267639,1,ns
10,LC3VolMinMax,Control,tepsin,102,101,1.143748965,0.25272776,1,ns
11,LC3VolMinMax,Control,AP4E1,102,104,-1.432949068,0.151872393,0.911234358,ns
12,LC3VolMinMax,tepsin,AP4E1,101,104,-2.578641351,0.009918971,0.059513826,ns
13,LC3IntMinMax,WT,Control,101,102,1.002617972,0.316045221,1,ns
14,LC3IntMinMax,WT,tepsin,101,101,3.826945127,0.000129743,0.000778461,***
15,LC3IntMinMax,WT,AP4E1,101,104,2.024519696,0.042916708,0.257500245,ns
16,LC3IntMinMax,Control,tepsin,102,101,2.833741548,0.004600652,0.027603914,*
17,LC3IntMinMax,Control,AP4E1,102,104,1.019609268,0.307913808,1,ns
18,LC3IntMinMax,tepsin,AP4E1,101,104,-1.830325765,0.067201241,0.403207446,ns
19,LC3SumIntMinMax,WT,Control,101,102,2.075878936,0.037905149,0.227430896,ns
20,LC3SumIntMinMax,WT,tepsin,101,101,3.824558507,0.000131007,0.00078604,***
21,LC3SumIntMinMax,WT,AP4E1,101,104,1.004527689,0.315124332,1,ns
22,LC3SumIntMinMax,Control,tepsin,102,101,1.758088093,0.078732521,0.472395129,ns
23,LC3SumIntMinMax,Control,AP4E1,102,104,-1.084053346,0.278341147,1,ns
24,LC3SumIntMinMax,tepsin,AP4E1,101,104,-2.847913752,0.004400685,0.026404109,*
25,LC3totIntMinMax,WT,Control,101,102,1.151656096,0.24946242,1,ns
26,LC3totIntMinMax,WT,tepsin,101,101,3.933746371,8.36E-05,0.000501792,***
27,LC3totIntMinMax,WT,AP4E1,101,104,-0.693080012,0.48825934,1,ns
28,LC3totIntMinMax,Control,tepsin,102,101,2.791767402,0.005242102,0.031452614,*
29,LC3totIntMinMax,Control,AP4E1,102,104,-1.854904111,0.063609921,0.381659525,ns
30,LC3totIntMinMax,tepsin,AP4E1,101,104,-4.655505351,3.23E-06,1.94E-05,****
31,LAMPVolMinMax,WT,Control,106,105,4.251569832,2.12E-05,0.000127366,***
32,LAMPVolMinMax,WT,tepsin,106,105,4.942265477,7.72E-07,4.63E-06,****
33,LAMPVolMinMax,WT,AP4E1,106,105,4.108030202,3.99E-05,0.000239429,***
34,LAMPVolMinMax,Control,tepsin,105,105,0.689064721,0.49078254,1,ns
35,LAMPVolMinMax,Control,AP4E1,105,105,-0.143200693,0.886131683,1,ns
36,LAMPVolMinMax,tepsin,AP4E1,105,105,-0.832265414,0.405259148,1,ns
37,LAMPIntMinMax,WT,Control,106,105,0.000160889,0.999871629,1,ns
38,LAMPIntMinMax,WT,tepsin,106,105,3.900459195,9.60E-05,0.000576062,***
39,LAMPIntMinMax,WT,AP4E1,106,105,3.450796469,0.000558935,0.003353609,**
40,LAMPIntMinMax,Control,tepsin,105,105,3.891088616,9.98E-05,0.000598773,***
41,LAMPIntMinMax,Control,AP4E1,105,105,3.442487669,0.00057639,0.003458341,**
42,LAMPIntMinMax,tepsin,AP4E1,105,105,-0.448600947,0.653719551,1,ns
43,LAMPSumIntMinMax,WT,Control,106,105,3.89327046,9.89E-05,0.000593411,***
44,LAMPSumIntMinMax,WT,tepsin,106,105,5.242258746,1.59E-07,9.52E-07,****
45,LAMPSumIntMinMax,WT,AP4E1,106,105,4.114406762,3.88E-05,0.000232906,***
46,LAMPSumIntMinMax,Control,tepsin,105,105,1.345802948,0.178366074,1,ns
47,LAMPSumIntMinMax,Control,AP4E1,105,105,0.220614137,0.825392893,1,ns
48,LAMPSumIntMinMax,tepsin,AP4E1,105,105,-1.125188811,0.260509033,1,ns
49,LAMPtotIntMinMax,WT,Control,106,105,1.716201035,0.086125254,0.516751523,ns
50,LAMPtotIntMinMax,WT,tepsin,106,105,5.135002636,2.82E-07,1.69E-06,****
51,LAMPtotIntMinMax,WT,AP4E1,106,105,2.970254299,0.002975533,0.017853199,*
52,LAMPtotIntMinMax,Control,tepsin,105,105,3.410728859,0.000647895,0.003887369,**
53,LAMPtotIntMinMax,Control,AP4E1,105,105,1.251092096,0.210900879,1,ns
54,LAMPtotIntMinMax,tepsin,AP4E1,105,105,-2.159636763,0.0308008,0.184804801,ns
