"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif"
"1","LC3CountMinMax","WT","Control",105,105,-0.319500201743562,0.749347238429393,1,"ns"
"2","LC3CountMinMax","WT","tepsin",105,105,-0.843662454426061,0.398858053748757,1,"ns"
"3","LC3CountMinMax","WT","AP4E1",105,105,0.797044987267748,0.425424904412528,1,"ns"
"4","LC3CountMinMax","Control","tepsin",105,105,-0.5241622526825,0.600165692851634,1,"ns"
"5","LC3CountMinMax","Control","AP4E1",105,105,1.11654518901131,0.264188838394302,1,"ns"
"6","LC3CountMinMax","tepsin","AP4E1",105,105,1.64070744169381,0.100858159429608,0.605148956577645,"ns"
"7","LC3VolMinMax","WT","Control",104,103,0.263635363663511,0.792060905995965,1,"ns"
"8","LC3VolMinMax","WT","tepsin",104,105,-0.885317124509159,0.375985616531579,1,"ns"
"9","LC3VolMinMax","WT","AP4E1",104,105,-0.55174006286798,0.581126457365065,1,"ns"
"10","LC3VolMinMax","Control","tepsin",103,105,-1.14742814506388,0.251204714543458,1,"ns"
"11","LC3VolMinMax","Control","AP4E1",103,105,-0.814661646426463,0.415266012962029,1,"ns"
"12","LC3VolMinMax","tepsin","AP4E1",105,105,0.334377968104088,0.738094362482498,1,"ns"
"13","LC3IntMinMax","WT","Control",104,103,1.52146727190602,0.128142618305599,0.768855709833591,"ns"
"14","LC3IntMinMax","WT","tepsin",104,105,0.167063170775187,0.867320344167499,1,"ns"
"15","LC3IntMinMax","WT","AP4E1",104,105,1.06783562499627,0.28559466511623,1,"ns"
"16","LC3IntMinMax","Control","tepsin",103,105,-1.35842795466614,0.174327928949103,1,"ns"
"17","LC3IntMinMax","Control","AP4E1",103,105,-0.45984429850751,0.645627984010505,1,"ns"
"18","LC3IntMinMax","tepsin","AP4E1",105,105,0.902935176311886,0.366560300025774,1,"ns"
"19","LC3SumIntMinMax","WT","Control",104,103,0.55836271748313,0.576596725943688,1,"ns"
"20","LC3SumIntMinMax","WT","tepsin",104,105,-0.674316040149071,0.500110408434116,1,"ns"
"21","LC3SumIntMinMax","WT","AP4E1",104,105,-0.00430592115296899,0.996564382608621,1,"ns"
"22","LC3SumIntMinMax","Control","tepsin",103,105,-1.23236796231059,0.217811662944777,1,"ns"
"23","LC3SumIntMinMax","Control","AP4E1",103,105,-0.563985909141123,0.572763721854752,1,"ns"
"24","LC3SumIntMinMax","tepsin","AP4E1",105,105,0.671618789064356,0.501826413663609,1,"ns"
"25","LC3totIntMinMax","WT","Control",104,103,0.187465624171747,0.851295573798644,1,"ns"
"26","LC3totIntMinMax","WT","tepsin",104,105,-1.46168447954904,0.143827692260303,0.862966153561817,"ns"
"27","LC3totIntMinMax","WT","AP4E1",104,105,0.0859646401610516,0.931494526200313,1,"ns"
"28","LC3totIntMinMax","Control","tepsin",103,105,-1.64604411408209,0.0997546770241305,0.598528062144783,"ns"
"29","LC3totIntMinMax","Control","AP4E1",103,105,-0.102155645997959,0.918633132873479,1,"ns"
"30","LC3totIntMinMax","tepsin","AP4E1",105,105,1.55136496928378,0.120814245232195,0.72488547139317,"ns"
"31","LAMPVolMinMax","WT","Control",105,105,4.99409786247885,5.9111420288895e-07,3.5466852173337e-06,"****"
"32","LAMPVolMinMax","WT","tepsin",105,105,4.23517690102077,2.28371850637627e-05,0.000137023110382576,"***"
"33","LAMPVolMinMax","WT","AP4E1",105,105,5.00660442513958,5.5398612963787e-07,3.32391677782722e-06,"****"
"34","LAMPVolMinMax","Control","tepsin",105,105,-0.758920961458084,0.447899838980282,1,"ns"
"35","LAMPVolMinMax","Control","AP4E1",105,105,0.012506562660732,0.990021466875529,1,"ns"
"36","LAMPVolMinMax","tepsin","AP4E1",105,105,0.771427524118816,0.440453565864,1,"ns"
"37","LAMPIntMinMax","WT","Control",105,105,2.16619367628067,0.0302963901672685,0.181778341003611,"ns"
"38","LAMPIntMinMax","WT","tepsin",105,105,2.27505762825751,0.0229024730311283,0.13741483818677,"ns"
"39","LAMPIntMinMax","WT","AP4E1",105,105,2.86485580150017,0.0041719917375504,0.0250319504253024,"*"
"40","LAMPIntMinMax","Control","tepsin",105,105,0.108863951976838,0.91331039881942,1,"ns"
